=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.21 08:33:36 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 8000000 HPC0 DDR bytes: 128878310
cycles to read 8000000 HPC0 DDR bytes: 128902838
cycles to write 8000000 HPC0 OCM bytes: 128722693
cycles to read 8000000 HPC0 OCM bytes: 119270964
cycles to write 8000000 HPC0 CACHE bytes: 2673229
cycles to read 8000000 HPC0 CACHE bytes: 2645799
cycles to write 8000000 HPC0 OCM bytes: 2673235
cycles to read 8000000 HPC0 OCM bytes: 6259075
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,DDR,28033,319,5032,406
HP0,DDR,666904,5789,87590,5868
HP0,DDR,1768357,15442,229086,15532
HP0,DDR,7660965,69144,982974,69237
HP0,DDR,13556505,122919,1737080,123011
HP0,DDR,20114144,182542,2576185,182628
HP0,DDR,26664405,242368,3413756,242444
HP0,DDR,33218752,302023,4252393,302103
HP0,DDR,39774050,361730,5090569,361805
HP0,DDR,46324491,421365,5928838,421444
HP0,DDR,52876707,481120,6766985,481192
HP0,DDR,59432034,540843,7605689,540923
HP0,DDR,65984780,600421,8444184,600499
HP0,DDR,72544371,660083,9283997,660152
HP0,DDR,79092956,719825,10121434,719908
HP0,DDR,85810369,781035,10980396,781133
HP0,DDR,92530398,842198,11840276,842278
HP0,DDR,99244525,903423,12699584,903506
HP0,DDR,105959985,964569,13558458,964643
HP0,DDR,112841291,1027178,14439354,1027258
HP0,DDR,120054272,1092983,15361912,1093052
HP0,DDR,127259930,1158660,16283370,1158735
HP0,DDR,134468117,1224292,17205917,1224373
HP0,DDR,141673419,1289983,18127152,1290072
HP0,DDR,148881770,1355794,19048994,1355880
HP0,DDR,156089134,1421494,19970797,1421560
HP0,DDR,163297716,1487202,20892933,1487285
HP0,DDR,170507295,1552926,21814787,1552997
HP0,DDR,177711720,1618646,22735896,1618720
HP0,DDR,184924345,1684400,23658443,1684481
HP0,DDR,192131985,1750108,24581098,1750194
HP0,DDR,199338939,1815743,25502702,1815826
HP0,DDR,206549814,1881362,26424634,1881435
HP0,DDR,213756714,1947017,27347271,1947091
HP0,DDR,220969818,2012680,28270279,2012759
HP0,DDR,228173475,2078373,29191883,2078452
HP0,DDR,235383079,2144047,30114723,2144123
HP0,DDR,242587124,2209762,31036348,2209840
HP0,DDR,249799470,2275455,31958176,2275536
HP0,DDR,257003667,2341125,32880100,2341216
HP0,DDR,264213197,2406758,33802455,2406848
HP0,DDR,271428246,2472457,34725525,2472540
HP0,DDR,278633135,2538014,35647205,2538097
HP0,DDR,285846477,2603633,36569740,2603714
HP0,DDR,293052327,2669117,37491906,2669211
HP0,DDR,300259785,2734730,38414296,2734811
HP0,DDR,307466926,2800459,39336524,2800551
HP0,DDR,314676937,2866144,40259164,2866227
HP0,DDR,321886287,2931835,41181711,2931904
HP0,DDR,329092267,2997561,42103453,2997650
HP0,DDR,336302723,3063204,43025844,3063292
HP0,DDR,343512988,3128843,43948507,3128917
HP0,DDR,350721876,3194528,44870316,3194611
HP0,DDR,357924220,3260209,45791763,3260284
HP0,DDR,365141425,3325891,46715169,3325973
