=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.15 23:33:27 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 927844
cycles to read 40000 DDR bytes: 1050917
cycles to write 40000 CACHE bytes: 24357
cycles to read 40000 CACHE bytes: 21061
cycles to write 40000 OCM bytes: 24366
cycles to read 40000 OCM bytes: 125228
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,DDR,16446,331,5463,334
HP0,DDR,47945,951,16438,955
HP0,DDR,111970,2220,38644,2224
HP0,DDR,329115,6546,113035,6549
HP0,DDR,553052,11011,189592,11015
HP0,DDR,790542,15750,270732,15752
HP0,DDR,1028088,20482,352064,20485
HP0,DDR,1272380,25355,435524,25358
HP0,DDR,1516609,30227,518977,30231
HP0,DDR,1760868,35102,602289,35106
HP0,DDR,2005175,39970,686013,39973
HP0,DDR,2249488,44837,769713,44840
HP0,DDR,2493753,49711,853052,49715
HP0,DDR,2738043,54583,936557,54587
HP0,DDR,2982279,59457,1020007,59460
HP0,DDR,3233431,64460,1105996,64464
HP0,DDR,3484458,69466,1191881,69469
HP0,DDR,3735556,74474,1277702,74478
HP0,DDR,3986633,79479,1363549,79483
HP0,DDR,4237634,84486,1449387,84489
HP0,DDR,4488760,89492,1535307,89496
HP0,DDR,4739861,94495,1621287,94499
HP0,DDR,4990930,99502,1707121,99505
HP0,DDR,5242024,104510,1792928,104513
HP0,DDR,5506611,109790,1883281,109793
HP0,DDR,5771229,115066,1973734,115070
HP0,DDR,6035847,120344,2064219,120347
HP0,DDR,6300486,125622,2154629,125626
HP0,DDR,6565115,130900,2245126,130903
HP0,DDR,6829701,136182,2335352,136186
HP0,DDR,7094286,141463,2425700,141467
HP0,DDR,7358910,146740,2516194,146743
HP0,DDR,7623482,152024,2606361,152028
HP0,DDR,7888110,157300,2696887,157302
HP0,DDR,8152740,162580,2787224,162584
HP0,DDR,8417307,167858,2877672,167861
HP0,DDR,8681920,173139,2968005,173143
HP0,DDR,8946608,178416,3058549,178420
HP0,DDR,9211188,183695,3148919,183699
HP0,DDR,9475820,188976,3239252,188979
HP0,DDR,9740314,194258,3329453,194261
HP0,DDR,10004955,199537,3419856,199541
HP0,DDR,10276427,204946,3512852,204950
HP0,DDR,10547849,210358,3605641,210362
HP0,DDR,10819248,215773,3698365,215775
HP0,DDR,11090666,221187,3791135,221189
HP0,DDR,11362038,226603,3883766,226607
HP0,DDR,11633435,232017,3976443,232021
HP0,DDR,11904837,237431,4069237,237435
HP0,DDR,12176257,242844,4161975,242848
HP0,DDR,12447781,248251,4255100,248254
HP0,DDR,12719146,253667,4347747,253670
HP0,DDR,12990588,259078,4440621,259082
HP0,DDR,13262014,264490,4533385,264494
HP0,DDR,13533377,269907,4625986,269911
HP0,DDR,13804736,275325,4718593,275328
HP0,DDR,14076140,280739,4811318,280742
HP0,DDR,14347528,286154,4904017,286157
HP0,DDR,14618900,291570,4996625,291574
HP0,DDR,14890297,296984,5089338,296988
HP0,DDR,15161744,302395,5182183,302399
HP0,DDR,15433133,307810,5274860,307814
HP0,DDR,15704564,313223,5367701,313226
HP0,DDR,15975951,318638,5460400,318641
HP0,DDR,16247324,324054,5553030,324058
HP0,DDR,16518744,329467,5645802,329470
HP0,DDR,16790179,334878,5738693,334882
HP0,DDR,17061570,340294,5831354,340297
HP0,DDR,17332944,345709,5924002,345711
HP0,DDR,17604362,351123,6016759,351126
HP0,DDR,17875776,356536,6109509,356540
HP0,DDR,18147187,361949,6202277,361953
HP0,DDR,18418645,367359,6295229,367363
HP0,DDR,18690051,372773,6387928,372777
HP0,DDR,18961424,378189,6480589,378191
HP0,DDR,19232841,383603,6573360,383606
HP0,DDR,19504284,389014,6666227,389018
HP0,DDR,19775668,394429,6758867,394433
HP0,DDR,20047072,399843,6851674,399846
HP0,DDR,20318475,405257,6944344,405261
HP0,DDR,20589892,410671,7037138,410674
HP0,DDR,20861312,416088,7129781,416091
HP0,DDR,21132698,421503,7222456,421506
HP0,DDR,21404021,426918,7315051,426922
