Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,14144,419,834,421
HP0,OCM,40868,1206,2408,1206
HP0,OCM,67796,1998,3992,1999
HP0,OCM,169762,4996,9988,4998
HP0,OCM,352682,10377,20750,10377
HP0,OCM,553384,16279,32556,16281
HP0,OCM,754086,22183,44362,22184
HP0,OCM,954754,28084,56164,28086
HP0,OCM,1155456,33987,67970,33989
HP0,OCM,1362040,40063,80122,40065
HP0,OCM,1568624,46138,92274,46140
HP0,OCM,1775208,52214,104426,52216
HP0,OCM,1987674,58464,116926,58466
HP0,OCM,2200174,64715,129424,64716
HP0,OCM,2412640,70964,141924,70964
HP0,OCM,2625140,77213,154422,77215
HP0,OCM,2837640,83463,166922,83465
HP0,OCM,3050106,89713,179422,89714
HP0,OCM,3262572,95962,191920,95962
HP0,OCM,3475072,102211,204420,102213
HP0,OCM,3699370,108808,217612,108810
HP0,OCM,3923668,115405,230808,115407
HP0,OCM,4147966,122002,244000,122004
HP0,OCM,4372264,128598,257194,128600
HP0,OCM,4596562,135195,270388,135197
HP0,OCM,4820826,141792,283582,141794
HP0,OCM,5045158,148389,296776,148391
HP0,OCM,5269422,154986,309968,154988
HP0,OCM,5493720,161583,323162,161585
HP0,OCM,5718018,168179,336354,168181
HP0,OCM,5942316,174776,349548,174778
HP0,OCM,6166580,181374,362744,181375
HP0,OCM,6390878,187970,375936,187972
HP0,OCM,6615176,194568,389130,194569
HP0,OCM,6839406,201164,402324,201164
HP0,OCM,7063738,207761,415518,207761
HP0,OCM,7288002,214357,428710,214357
HP0,OCM,7512300,220954,441904,220954
HP0,OCM,7736598,227551,455098,227552
HP0,OCM,7960896,234148,468292,234148
HP0,OCM,8185194,240744,481484,240744
HP0,OCM,8409492,247341,494678,247342
HP0,OCM,8633790,253939,507874,253939
HP0,OCM,8858088,260536,521068,260536
HP0,OCM,9082352,267131,534260,267133
HP0,OCM,9306650,273728,547454,273730
HP0,OCM,9530948,280325,560646,280327
HP0,OCM,9755246,286922,573840,286924
HP0,OCM,9979544,293519,587034,293521
HP0,OCM,10203842,300115,600228,300117
HP0,OCM,10433988,306886,613768,306886
HP0,OCM,10664202,313656,627308,313658
HP0,OCM,10894416,320427,640850,320429
HP0,OCM,11124596,327197,654390,327199
HP0,OCM,11354810,333967,667930,333969
HP0,OCM,11584956,340738,681472,340738
HP0,OCM,11815170,347508,695012,347510
HP0,OCM,12045350,354279,708554,354279
HP0,OCM,12275564,361049,722094,361051
HP0,OCM,12505710,367820,735636,367820
HP0,OCM,12735958,374591,749178,374591
HP0,OCM,12966138,381361,762718,381362
HP0,OCM,13196318,388131,776258,388131
HP0,OCM,13426532,394901,789798,394903
HP0,OCM,13656712,401672,803340,401672
HP0,OCM,13886926,408442,816880,408444
HP0,OCM,14117072,415212,830420,415212
HP0,OCM,14347320,421982,843962,421984
HP0,OCM,14577500,428754,857504,428755
HP0,OCM,14807680,435523,871044,435525
HP0,OCM,15037894,442294,884584,442296
HP0,OCM,15268074,449064,898124,449064
HP0,OCM,15498288,455835,911666,455836
HP0,OCM,15728434,462606,925206,462606
HP0,OCM,15958682,469375,938748,469377
HP0,OCM,16188828,476146,952288,476146
HP0,OCM,16419076,482916,965830,482918
HP0,OCM,16649256,489687,979370,489689
HP0,OCM,16879436,496458,992912,496458
HP0,OCM,17109650,503227,1006450,503229
HP0,OCM,17345746,510171,1020340,510173
HP0,OCM,17581808,517115,1034228,517117
HP0,OCM,17817904,524060,1048114,524060
HP0,OCM,18053966,531004,1062004,531004
HP0,OCM,18290096,537948,1075892,537950
HP0,OCM,18526226,544891,1089778,544893
HP0,OCM,18762322,551835,1103668,551837
HP0,OCM,18998384,558779,1117556,558781
HP0,OCM,19234480,565724,1131442,565724
HP0,OCM,19470542,572668,1145332,572668
HP0,OCM,19706672,579612,1159220,579614
HP0,OCM,19942802,586555,1173106,586557
HP0,OCM,20178898,593499,1186996,593501
HP0,OCM,20414960,600443,1200884,600445
HP0,OCM,20651056,607388,1214770,607388
HP0,OCM,20887118,614332,1228660,614332
HP0,OCM,21123248,621276,1242548,621278
HP0,OCM,21359378,628219,1256434,628221
HP0,OCM,21595474,635163,1270324,635165
HP0,OCM,21831536,642107,1284212,642109
OCM test run cycles 32431830
