Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,15209,372,5235,373
HPC0,CACHE,32259,785,11191,786
HPC0,CACHE,143696,3511,49337,3512
HPC0,CACHE,370114,9037,127203,9038
HPC0,CACHE,603003,14724,207194,14725
HPC0,CACHE,848800,20725,291678,20726
HPC0,CACHE,1094608,26726,376233,26726
HPC0,CACHE,1346961,32881,463122,32882
HPC0,CACHE,1599278,39039,549902,39040
HPC0,CACHE,1851633,45196,636720,45197
HPC0,CACHE,2103898,51358,723338,51359
HPC0,CACHE,2356156,57518,810008,57519
HPC0,CACHE,2608208,63693,896062,63694
HPC0,CACHE,2855970,70176,968702,70177
HPC0,CACHE,3103732,76658,1041421,76659
HPC0,CACHE,3357970,83300,1116218,83301
HPC0,CACHE,3612038,89952,1190631,89953
HPC0,CACHE,3866235,96596,1265387,96597
HPC0,CACHE,4120379,103241,1340035,103242
HPC0,CACHE,4387295,110217,1418540,110218
HPC0,CACHE,4654266,117186,1497301,117187
HPC0,CACHE,4921054,124169,1575500,124170
HPC0,CACHE,5187978,131146,1653916,131147
HPC0,CACHE,5454765,138128,1732192,138128
HPC0,CACHE,5721661,145104,1810657,145105
HPC0,CACHE,5988562,152079,1889177,152080
HPC0,CACHE,6255454,159056,1967601,159057
HPC0,CACHE,6522247,166039,2045791,166039
HPC0,CACHE,6788855,173037,2123373,173037
HPC0,CACHE,7050551,180383,2186104,180384
HPC0,CACHE,7312055,187744,2248337,187744
HPC0,CACHE,7573756,195092,2311021,195092
HPC0,CACHE,7835271,202452,2373190,202453
HPC0,CACHE,8097003,209798,2436014,209799
HPC0,CACHE,8358515,217157,2498220,217158
HPC0,CACHE,8620251,224503,2561014,224504
HPC0,CACHE,8881790,231860,2623359,231861
HPC0,CACHE,9143444,239212,2685926,239212
HPC0,CACHE,9405066,246565,2748397,246566
HPC0,CACHE,9666643,253920,2810852,253920
HPC0,CACHE,9928215,261274,2873277,261275
HPC0,CACHE,10189844,268629,2935716,268629
HPC0,CACHE,10457643,276160,2999568,276160
HPC0,CACHE,10725543,283684,3063718,283684
HPC0,CACHE,10993010,291239,3126565,291239
HPC0,CACHE,11254623,299213,3171337,299214
HPC0,CACHE,11516206,307189,3216035,307190
HPC0,CACHE,11777732,315168,3260616,315169
HPC0,CACHE,12039239,323149,3305203,323149
HPC0,CACHE,12300772,331128,3349755,331128
HPC0,CACHE,12562347,339104,3394430,339105
HPC0,CACHE,12823918,347081,3439089,347082
HPC0,CACHE,13085382,355065,3483492,355066
HPC0,CACHE,13346933,363043,3528186,363042
HPC0,CACHE,13608475,371021,3572755,371022
HPC0,CACHE,13870070,378995,3617512,378996
HPC0,CACHE,14131583,386975,3662056,386976
HPC0,CACHE,14393091,394957,3706558,394957
HPC0,CACHE,14654689,402930,3751359,402930
HPC0,CACHE,14916231,410909,3795919,410909
HPC0,CACHE,15177487,418910,3839551,418911
HPC0,CACHE,15432925,427323,3865512,427323
HPC0,CACHE,15688405,435735,3891496,435735
HPC0,CACHE,15943875,444146,3917497,444146
HPC0,CACHE,16199341,452559,3943462,452558
HPC0,CACHE,16454821,460971,3969446,460970
HPC0,CACHE,16710319,469381,3995440,469381
HPC0,CACHE,16965854,477788,4021561,477789
HPC0,CACHE,17221364,486198,4047612,486199
HPC0,CACHE,17476855,494607,4073735,494608
HPC0,CACHE,17732372,503017,4099791,503018
HPC0,CACHE,17987893,511425,4125949,511425
HPC0,CACHE,18243403,519834,4152046,519834
HPC0,CACHE,18498899,528244,4178097,528244
HPC0,CACHE,18754365,536657,4204058,536656
HPC0,CACHE,19009875,545066,4230153,545065
HPC0,CACHE,19264686,553487,4255704,553485
HPC0,CACHE,19505119,562067,4272864,562065
HPC0,CACHE,19745560,570647,4290024,570645
HPC0,CACHE,19985999,579228,4307184,579226
HPC0,CACHE,20226434,587808,4324346,587806
HPC0,CACHE,20466896,596388,4341506,596386
HPC0,CACHE,20707337,604969,4358666,604967
HPC0,CACHE,20947780,613549,4375828,613547
HPC0,CACHE,21188236,622129,4392988,622127
HPC0,CACHE,21428672,630709,4410148,630707
HPC0,CACHE,21669111,639289,4427308,639287
HPC0,CACHE,21909579,647870,4444470,647868
HPC0,CACHE,22150023,656450,4461630,656448
HPC0,CACHE,22390456,665030,4478790,665028
HPC0,CACHE,22630896,673610,4495950,673608
HPC0,CACHE,22871365,682191,4513112,682189
HPC0,CACHE,23111804,690771,4530272,690769
HPC0,CACHE,23352239,699351,4547432,699349
HPC0,CACHE,23592719,707931,4564592,707929
HPC0,CACHE,23833168,716511,4581752,716509
HPC0,CACHE,24073615,725092,4598912,725090
HPC0,CACHE,24314044,733672,4616074,733670
HPC0,CACHE,24554484,742252,4633234,742250
HPC0,CACHE,24794953,750833,4650394,750831
CACHE test run cycles 35951649
