=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.15 19:41:15 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 3570212
cycles to read 40000 DDR bytes: 3427051
cycles to write 40000 CACHE bytes: 80296
cycles to read 40000 CACHE bytes: 79438
cycles to write 40000 OCM bytes: 80282
cycles to read 40000 OCM bytes: 185290
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,DDR,16616,337,5625,343
HP0,DDR,48718,964,16975,969
HP0,DDR,104161,2054,36416,2060
HP0,DDR,321322,6383,110675,6389
HP0,DDR,545271,10844,187442,10850
HP0,DDR,782832,15580,268676,15586
HP0,DDR,1020447,20308,350272,20314
HP0,DDR,1264694,25180,433732,25186
HP0,DDR,1509012,30051,517325,30057
HP0,DDR,1753316,34918,601031,34924
HP0,DDR,1997620,39790,684526,39796
HP0,DDR,2241908,44659,768115,44665
HP0,DDR,2486241,49529,851753,49535
HP0,DDR,2730573,54395,935498,54401
HP0,DDR,2974919,59263,1019190,59269
HP0,DDR,3225907,64272,1104925,64278
HP0,DDR,3477090,69277,1190894,69283
HP0,DDR,3728110,74283,1276719,74289
HP0,DDR,3979223,79285,1362789,79291
HP0,DDR,4230332,84288,1448773,84294
HP0,DDR,4481434,89296,1534607,89302
HP0,DDR,4732520,94301,1620528,94307
HP0,DDR,4983575,99303,1706528,99309
HP0,DDR,5234718,104308,1792495,104314
HP0,DDR,5499353,109584,1883034,109590
HP0,DDR,5763972,114862,1973506,114867
HP0,DDR,6028680,120136,2064126,120142
HP0,DDR,6293397,125411,2154775,125417
HP0,DDR,6557993,130689,2245179,130695
HP0,DDR,6822680,135966,2335731,135972
HP0,DDR,7087357,141239,2426402,141245
HP0,DDR,7351981,146511,2517064,146517
HP0,DDR,7616679,151788,2607639,151794
HP0,DDR,7881330,157062,2698228,157069
HP0,DDR,8146109,162336,2788898,162342
HP0,DDR,8410777,167609,2879563,167615
HP0,DDR,8675416,172885,2970106,172891
HP0,DDR,8940055,178161,3060681,178166
HP0,DDR,9204772,183435,3151291,183441
HP0,DDR,9469368,188714,3241692,188720
HP0,DDR,9733994,193990,3332218,193995
HP0,DDR,9998655,199265,3422849,199270
HP0,DDR,10263344,204540,3513398,204546
HP0,DDR,10534775,209952,3606235,209958
HP0,DDR,10806224,215363,3699114,215369
HP0,DDR,11077632,220777,3791880,220783
HP0,DDR,11349078,226188,3884743,226194
HP0,DDR,11620540,231602,3977535,231608
HP0,DDR,11892041,237009,4070608,237015
HP0,DDR,12163467,242417,4163568,242423
HP0,DDR,12434987,247827,4256554,247833
HP0,DDR,12706377,253238,4349405,253244
HP0,DDR,12977771,258648,4442258,258654
HP0,DDR,13249242,264062,4535053,264067
HP0,DDR,13520604,269475,4627791,269482
HP0,DDR,13792085,274887,4720632,274893
HP0,DDR,14063546,280297,4813595,280303
HP0,DDR,14334997,285708,4906475,285714
HP0,DDR,14606348,291121,4999198,291127
HP0,DDR,14877890,296530,5092201,296536
HP0,DDR,15149328,301942,5185040,301948
HP0,DDR,15420805,307350,5278062,307356
HP0,DDR,15692224,312763,5370838,312769
HP0,DDR,15963665,318174,5463721,318180
HP0,DDR,16235134,323584,5556673,323590
HP0,DDR,16506610,328997,5649483,329003
HP0,DDR,16778052,334404,5742466,334410
HP0,DDR,17049437,339819,5835180,339825
HP0,DDR,17320858,345232,5927961,345238
HP0,DDR,17592293,350644,6020832,350650
HP0,DDR,17863667,356055,6113644,356061
HP0,DDR,18135122,361466,6206507,361472
HP0,DDR,18406576,366877,6299399,366884
HP0,DDR,18678097,372287,6392361,372293
HP0,DDR,18949533,377698,6485231,377704
HP0,DDR,19221002,383107,6578237,383113
HP0,DDR,19492430,388520,6671015,388526
HP0,DDR,19763918,393928,6764013,393934
HP0,DDR,20035330,399341,6856801,399347
HP0,DDR,20306853,404747,6949920,404753
HP0,DDR,20578277,410159,7042756,410165
HP0,DDR,20849752,415569,7135706,415575
HP0,DDR,21121191,420980,7228559,420986
HP0,DDR,21392666,426393,7321394,426399
HP0,DDR,21664104,431800,7414399,431806
HP0,DDR,21935537,437212,7507233,437218
HP0,DDR,22206994,442622,7600167,442628
HP0,DDR,22478448,448033,7693066,448039
HP0,DDR,22749881,453445,7785901,453451
HP0,DDR,23021352,458854,7878852,458860
HP0,DDR,23292811,464265,7971752,464271
HP0,DDR,23564267,469675,8064672,469681
HP0,DDR,23835728,475084,8157636,475090
HP0,DDR,24107166,480496,8250491,480502
HP0,DDR,24378585,485909,8343272,485915
HP0,DDR,24650134,491317,8436305,491323
HP0,DDR,24921512,496728,8529144,496734
