Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,DDR,16097,346,6672,349
HPC0,DDR,47136,996,20218,1001
HPC0,DDR,78087,1655,33476,1659
HPC0,DDR,225235,4840,94755,4843
HPC0,DDR,445033,9601,186073,9604
HPC0,DDR,671417,14512,279930,14515
HPC0,DDR,911116,19711,379311,19714
HPC0,DDR,1150809,24908,478760,24910
HPC0,DDR,1397151,30250,580963,30253
HPC0,DDR,1643629,35586,683432,35590
HPC0,DDR,1890026,40926,785789,40929
HPC0,DDR,2136535,46260,888332,46262
HPC0,DDR,2382937,51597,990699,51601
HPC0,DDR,2629397,56934,1093154,56937
HPC0,DDR,2882532,62410,1198552,62413
HPC0,DDR,3135619,67894,1303653,67897
HPC0,DDR,3388711,73378,1408781,73381
HPC0,DDR,3641795,78858,1513995,78862
HPC0,DDR,3894955,84336,1619301,84340
HPC0,DDR,4148029,89819,1724442,89823
HPC0,DDR,4401104,95304,1829551,95308
HPC0,DDR,4654233,100781,1934840,100785
HPC0,DDR,4920555,106558,2045294,106562
HPC0,DDR,5186942,112331,2155843,112336
HPC0,DDR,5453298,118107,2266386,118110
HPC0,DDR,5719675,123883,2376838,123887
HPC0,DDR,5986094,129649,2487703,129652
HPC0,DDR,6252509,135418,2598411,135422
HPC0,DDR,6518929,141192,2708989,141194
HPC0,DDR,6785363,146961,2819751,146964
HPC0,DDR,7051648,152739,2930143,152742
HPC0,DDR,7318155,158503,3041076,158506
HPC0,DDR,7584416,164283,3151362,164286
HPC0,DDR,7850727,170059,3261780,170063
HPC0,DDR,8117070,175839,3372155,175841
HPC0,DDR,8383487,181609,3482863,181612
HPC0,DDR,8649977,187372,3593819,187375
HPC0,DDR,8916402,193145,3704435,193148
HPC0,DDR,9182867,198911,3815320,198915
HPC0,DDR,9449175,204686,3925872,204690
HPC0,DDR,9715555,210458,4036441,210462
HPC0,DDR,9981942,216231,4146974,216236
HPC0,DDR,10248298,222007,4257516,222010
HPC0,DDR,10521428,227918,4371046,227923
HPC0,DDR,10794384,233841,4484162,233845
HPC0,DDR,11067333,239764,4597347,239767
HPC0,DDR,11340385,245679,4710798,245682
HPC0,DDR,11613520,251592,4824329,251595
HPC0,DDR,11886569,257505,4937818,257509
HPC0,DDR,12159523,263431,5050859,263435
HPC0,DDR,12432642,269345,5164386,269348
HPC0,DDR,12705325,275283,5276857,275286
HPC0,DDR,12978402,281200,5390262,281203
HPC0,DDR,13251273,287127,5503152,287131
HPC0,DDR,13524182,293057,5616072,293060
HPC0,DDR,13797407,298959,5730056,298962
HPC0,DDR,14070541,304872,5843595,304875
HPC0,DDR,14343538,310786,5956990,310790
HPC0,DDR,14616596,316708,6070214,316711
HPC0,DDR,14889543,322627,6183487,322630
HPC0,DDR,15162781,328530,6297344,328535
HPC0,DDR,15435849,334449,6410744,334452
HPC0,DDR,15708794,340371,6523875,340375
HPC0,DDR,15981828,346287,6637274,346290
HPC0,DDR,16254956,352201,6750816,352204
HPC0,DDR,16527970,358118,6864134,358122
HPC0,DDR,16801064,364030,6977701,364033
HPC0,DDR,17074074,369952,7090920,369955
HPC0,DDR,17347150,375865,7204440,375868
HPC0,DDR,17620118,381786,7317601,381790
HPC0,DDR,17893011,387716,7430390,387720
HPC0,DDR,18166141,393628,7543978,393632
HPC0,DDR,18439018,399552,7657027,399555
HPC0,DDR,18711950,405480,7770015,405482
HPC0,DDR,18985089,411392,7883560,411394
HPC0,DDR,19258011,417316,7996606,417320
HPC0,DDR,19530999,423235,8109884,423238
HPC0,DDR,19804103,429150,8223382,429153
HPC0,DDR,20077059,435072,8336551,435075
HPC0,DDR,20350157,440983,8450087,440987
HPC0,DDR,20623278,446897,8563637,446900
HPC0,DDR,20896254,452817,8676861,452820
HPC0,DDR,21169352,458733,8790334,458735
HPC0,DDR,21442339,464652,8903523,464656
HPC0,DDR,21715298,470574,9016713,470577
HPC0,DDR,21988390,476488,9130193,476491
HPC0,DDR,22261397,482407,9243500,482410
HPC0,DDR,22534403,488329,9356681,488332
HPC0,DDR,22807430,494246,9470017,494250
HPC0,DDR,23080435,500167,9583237,500171
HPC0,DDR,23353487,506082,9696706,506085
HPC0,DDR,23626534,511999,9810020,512004
HPC0,DDR,23899587,517916,9923421,517920
HPC0,DDR,24172556,523839,10036522,523843
HPC0,DDR,24452150,529907,10152404,529909
HPC0,DDR,24731862,535965,10268681,535968
HPC0,DDR,25011703,542018,10385136,542022
HPC0,DDR,25291485,548071,10501622,548075
HPC0,DDR,25571235,554133,10617727,554137
HPC0,DDR,25850837,560201,10733594,560205
DDR test run cycles 34037519
