=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.20 00:11:05 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 936697
cycles to read 40000 DDR bytes: 1050599
cycles to write 40000 OCM bytes: 947731
cycles to read 40000 OCM bytes: 976392
cycles to write 40000 CACHE bytes: 24361
cycles to read 40000 CACHE bytes: 21063
cycles to write 40000 OCM bytes: 24358
cycles to read 40000 OCM bytes: 125377
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,84335,2488,10480,2485
HP0,OCM,1136125,33423,140407,33420
HP0,OCM,2431729,71529,300452,71526
HP0,OCM,3727367,109637,460507,109634
HP0,OCM,5095017,149862,629449,149859
HP0,OCM,6462633,190086,798391,190083
HP0,OCM,7830283,230310,967336,230308
HP0,OCM,9197899,270534,1136273,270532
HP0,OCM,10601453,311815,1309657,311812
HP0,OCM,12041149,354159,1487498,354156
HP0,OCM,13480743,396500,1665334,396497
HP0,OCM,14920337,438841,1843165,438838
HP0,OCM,16359931,481182,2020996,481179
HP0,OCM,17799491,523523,2198824,523520
HP0,OCM,19239187,565866,2376670,565864
HP0,OCM,20678781,608207,2554501,608205
HP0,OCM,22118341,650548,2732333,650545
HP0,OCM,23558003,692891,2910172,692888
HP0,OCM,24997597,735231,3088004,735228
HP0,OCM,26437191,777572,3265835,777569
HP0,OCM,27876785,819913,3443666,819910
HP0,OCM,29316481,862257,3621512,862254
HP0,OCM,30756041,904597,3799340,904594
HP0,OCM,32195601,946937,3977168,946935
HP0,OCM,33635263,989280,4155010,989277
HP0,OCM,35074823,1031621,4332838,1031618
HP0,OCM,36586463,1076081,4519570,1076078
HP0,OCM,38098035,1120538,4706291,1120535
HP0,OCM,39609675,1164998,4893023,1164995
HP0,OCM,41121179,1209455,5079745,1209452
HP0,OCM,42632819,1253915,5266477,1253912
HP0,OCM,44144391,1298372,5453195,1298369
HP0,OCM,45656031,1342832,5639927,1342829
HP0,OCM,47167535,1387289,5826645,1387286
HP0,OCM,48679141,1431747,6013370,1431744
HP0,OCM,50190781,1476207,6200102,1476204
HP0,OCM,51702285,1520664,6386820,1520661
HP0,OCM,53213925,1565124,6573552,1565121
HP0,OCM,54725497,1609581,6760274,1609578
HP0,OCM,56237137,1654041,6947006,1654038
HP0,OCM,57748675,1698498,7133723,1698495
HP0,OCM,59260315,1742958,7320455,1742955
HP0,OCM,60771853,1787415,7507177,1787412
HP0,OCM,62283493,1831875,7693909,1831872
HP0,OCM,63795031,1876332,7880627,1876329
HP0,OCM,65306671,1920792,8067359,1920789
HP0,OCM,66818209,1965250,8254084,1965247
HP0,OCM,68329849,2009710,8440816,2009707
HP0,OCM,69841455,2054168,8627537,2054165
HP0,OCM,71352959,2098625,8814259,2098622
HP0,OCM,72864633,2143085,9000991,2143083
HP0,OCM,74376171,2187543,9187713,2187540
HP0,OCM,75887811,2232003,9374445,2232000
HP0,OCM,77399349,2276460,9561159,2276457
HP0,OCM,78910989,2320920,9747891,2320917
HP0,OCM,80422527,2365377,9934617,2365374
HP0,OCM,81934167,2409837,10121349,2409834
HP0,OCM,83481779,2455354,10312518,2455351
HP0,OCM,85029323,2500870,10503688,2500868
HP0,OCM,86576901,2546388,10694859,2546385
HP0,OCM,88124479,2591904,10886028,2591902
HP0,OCM,89672057,2637421,11077203,2637418
HP0,OCM,91219601,2682938,11268373,2682935
HP0,OCM,92767179,2728455,11459545,2728452
HP0,OCM,94314757,2773971,11650714,2773969
HP0,OCM,95862369,2819489,11841886,2819487
HP0,OCM,97409981,2865008,12033067,2865005
HP0,OCM,98957559,2910525,12224240,2910522
HP0,OCM,100505137,2956042,12415408,2956039
HP0,OCM,102088653,3002615,12611018,3002612
HP0,OCM,103672237,3049191,12806638,3049189
HP0,OCM,105255855,3095769,13002259,3095766
HP0,OCM,106839405,3142343,13197874,3142340
HP0,OCM,108422989,3188919,13393492,3188916
HP0,OCM,110006573,3235495,13589114,3235492
HP0,OCM,111590089,3282069,13784722,3282066
HP0,OCM,113173673,3328646,13980349,3328643
HP0,OCM,114757189,3375220,14175959,3375217
HP0,OCM,116340807,3421797,14371579,3421794
HP0,OCM,117924425,3468374,14567203,3468371
HP0,OCM,119507941,3514948,14762815,3514945
HP0,OCM,121091559,3561524,14958433,3561521
HP0,OCM,122675143,3608100,15154056,3608097
HP0,OCM,124258659,3654674,15349664,3654671
HP0,OCM,125842277,3701251,15545290,3701248
HP0,OCM,127425759,3747825,15740901,3747822
HP0,OCM,129009411,3794402,15936523,3794399
HP0,OCM,130592995,3840979,16132145,3840976
HP0,OCM,132176511,3887552,16327754,3887550
HP0,OCM,133760129,3934129,16523375,3934126
HP0,OCM,135343645,3980703,16718987,3980700
HP0,OCM,136927229,4027280,16914613,4027277
HP0,OCM,138510745,4073854,17110220,4073851
HP0,OCM,140094329,4120430,17305843,4120427
HP0,OCM,141677947,4167007,17501465,4167004
HP0,OCM,143261463,4213581,17697074,4213578
HP0,OCM,144845081,4260158,17892698,4260155
