=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.19 20:33:23 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 8000000 DDR bytes: 92128476
cycles to read 8000000 DDR bytes: 102133308
cycles to write 8000000 CACHE bytes: 2094908
cycles to read 8000000 CACHE bytes: 2094862
cycles to write 8000000 OCM bytes: 2094886
cycles to read 8000000 OCM bytes: 12515142
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,DDR,16244,321,19786,324
HP0,DDR,47688,932,57999,934
HP0,DDR,101907,1983,123728,1986
HP0,DDR,323567,6304,392923,6307
HP0,DDR,545135,10626,662032,10628
HP0,DDR,780181,15211,947516,15213
HP0,DDR,1015283,19794,1232976,19797
HP0,DDR,1263639,24643,1534680,24646
HP0,DDR,1512083,29491,1836495,29492
HP0,DDR,1760584,34338,2138262,34341
HP0,DDR,2008998,39188,2440074,39189
HP0,DDR,2257418,44036,2741823,44039
HP0,DDR,2505900,48884,3043589,48886
HP0,DDR,2754333,53729,3345366,53730
HP0,DDR,3002787,58575,3647120,58577
HP0,DDR,3251188,63426,3948869,63428
HP0,DDR,3499566,68277,4250625,68278
HP0,DDR,3747918,73131,4552359,73133
HP0,DDR,3996442,77975,4854129,77977
HP0,DDR,4244869,82821,5155907,82822
HP0,DDR,4493393,87666,5457679,87669
HP0,DDR,4741854,92512,5759502,92515
HP0,DDR,4990255,97363,6061261,97366
HP0,DDR,5238755,102209,6363013,102211
HP0,DDR,5500597,107317,6681093,107319
HP0,DDR,5762495,112426,6999201,112429
HP0,DDR,6024286,117542,7317257,117545
HP0,DDR,6286113,122656,7635292,122659
HP0,DDR,6547860,127773,7953318,127775
HP0,DDR,6809714,132882,8271428,132884
HP0,DDR,7071687,137988,8589564,137991
HP0,DDR,7333602,143094,8907650,143096
HP0,DDR,7595415,148207,9225643,148209
HP0,DDR,7857270,153317,9543738,153318
HP0,DDR,8119123,158432,9861835,158435
HP0,DDR,8380939,163542,10179910,163544
HP0,DDR,8649522,168786,10506128,168789
HP0,DDR,8918109,174026,10832354,174029
HP0,DDR,9186677,179269,11158601,179272
HP0,DDR,9455304,184508,11484905,184510
HP0,DDR,9723808,189750,11811073,189752
HP0,DDR,9992468,194990,12137309,194992
HP0,DDR,10261093,200225,12463588,200227
HP0,DDR,10536360,205600,12797979,205602
HP0,DDR,10811661,210972,13132387,210973
HP0,DDR,11086993,216345,13466746,216348
HP0,DDR,11362219,221719,13801087,221722
HP0,DDR,11637543,227091,14135552,227093
HP0,DDR,11912802,232464,14469907,232465
HP0,DDR,12188052,237840,14804255,237842
HP0,DDR,12463390,243211,15138731,243214
HP0,DDR,12738634,248588,15473062,248591
HP0,DDR,13013844,253960,15807418,253962
HP0,DDR,13289214,259329,16141858,259331
HP0,DDR,13564604,264696,16476279,264699
HP0,DDR,13839897,270070,16810627,270073
HP0,DDR,14115191,275444,17145036,275447
HP0,DDR,14390431,280818,17479441,280820
HP0,DDR,14665725,286191,17813842,286194
HP0,DDR,14940975,291565,18148205,291567
HP0,DDR,15216282,296938,18482610,296941
HP0,DDR,15491514,302312,18816956,302314
HP0,DDR,15766819,307684,19151316,307687
HP0,DDR,16042228,313055,19485792,313058
HP0,DDR,16317506,318426,19820152,318428
HP0,DDR,16592795,323800,20154547,323802
HP0,DDR,16868079,329170,20488907,329172
HP0,DDR,17143407,334538,20823345,334541
HP0,DDR,17418652,339915,21157671,339917
HP0,DDR,17693976,345288,21492100,345291
HP0,DDR,17969277,350657,21826517,350658
HP0,DDR,18244546,356031,22160907,356034
HP0,DDR,18519883,361403,22495275,361406
HP0,DDR,18795148,366776,22829705,366778
HP0,DDR,19070491,372146,23164116,372149
HP0,DDR,19345731,377519,23498408,377522
HP0,DDR,19621044,382893,23832859,382895
HP0,DDR,19896289,388266,24167235,388269
HP0,DDR,20171555,393645,24501605,393647
HP0,DDR,20446753,399019,24835964,399020
HP0,DDR,20722088,404391,25170370,404394
HP0,DDR,20997383,409765,25504757,409768
HP0,DDR,21272631,415139,25839112,415142
