=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.19 23:33:52 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 8000000 HPC0 DDR bytes: 96534772
cycles to write 8000000 HPC0 DDR bytes: 103153368
cycles to write 8000000 HPC0 OCM bytes: 94378271
cycles to write 8000000 HPC0 OCM bytes: 97254397
cycles to write 8000000 HPC0 CACHE bytes: 2094962
cycles to write 8000000 HPC0 CACHE bytes: 2094862
cycles to write 8000000 HPC0 OCM bytes: 2094888
cycles to write 8000000 HPC0 OCM bytes: 12752982
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,87768,2590,10056,2587
HP0,OCM,1184234,34838,134785,34836
HP0,OCM,2534578,74555,288396,74553
HP0,OCM,3885092,114276,442003,114274
HP0,OCM,5310440,156198,604164,156195
HP0,OCM,6735890,198123,766296,198120
HP0,OCM,8161204,240044,928435,240041
HP0,OCM,9586722,281970,1090576,281968
HP0,OCM,11049572,324996,1256989,324993
HP0,OCM,12549924,369124,1427681,369122
HP0,OCM,14050276,413252,1598379,413249
HP0,OCM,15550696,457382,1769066,457380
HP0,OCM,17051048,501510,1939747,501507
HP0,OCM,18551502,545640,2110426,545638
HP0,OCM,20051854,589768,2281102,589766
HP0,OCM,21552206,633897,2451791,633894
HP0,OCM,23052694,678029,2622481,678026
HP0,OCM,24553114,722158,2793146,722156
HP0,OCM,26053602,766290,2963829,766288
HP0,OCM,27553954,810419,3134507,810417
HP0,OCM,29054340,854548,3305198,854545
HP0,OCM,30554862,898681,3475872,898678
HP0,OCM,32055316,942812,3646535,942809
HP0,OCM,33555872,986946,3817213,986944
HP0,OCM,35056224,1031073,3987889,1031071
HP0,OCM,36631512,1077406,4167124,1077403
HP0,OCM,38206936,1123742,4346350,1123739
HP0,OCM,39782326,1170077,4525555,1170075
HP0,OCM,41357954,1216418,4704765,1216416
HP0,OCM,42933378,1262755,4883960,1262752
HP0,OCM,44508734,1309089,5063181,1309087
HP0,OCM,46084192,1355426,5242405,1355423
HP0,OCM,47659582,1401760,5421624,1401758
HP0,OCM,49235040,1448097,5600842,1448095
HP0,OCM,50810430,1494433,5780067,1494430
HP0,OCM,52385718,1540764,5959285,1540762
HP0,OCM,53961278,1587104,6138483,1587102
